y4_hhid,domain,strataid,clusterid,clustertype,y4_weights,regcode,regname,discode,disname,intdy,intmo,intyr
1269-001,1,13,70121203018,2,2257.19946289063,7,DAR ES SALAAM,1,KINONDONI,24,2,2015
1270-001,1,13,70121203018,2,2257.19946289063,7,DAR ES SALAAM,1,KINONDONI,24,2,2015
1271-001,1,13,70121203018,2,2257.19946289063,7,DAR ES SALAAM,1,KINONDONI,24,2,2015
1272-001,1,13,70121203018,2,2257.19946289063,7,DAR ES SALAAM,1,KINONDONI,25,2,2015
1273-001,1,13,70121203018,2,2257.19946289063,7,DAR ES SALAAM,1,KINONDONI,24,2,2015
1285-001,1,13,70123206009,2,1835.50134277344,7,DAR ES SALAAM,1,KINONDONI,28,2,2015
1286-001,1,13,70123206009,2,1835.50134277344,7,DAR ES SALAAM,1,KINONDONI,1,3,2015
1287-001,1,13,70123206009,2,1835.50134277344,7,DAR ES SALAAM,1,KINONDONI,27,2,2015
1289-001,1,13,70123206009,2,1835.50134277344,7,DAR ES SALAAM,1,KINONDONI,27,2,2015
1290-001,1,13,70123206009,2,1835.50134277344,7,DAR ES SALAAM,1,KINONDONI,27,2,2015
1291-001,1,13,70123206009,2,1835.50134277344,7,DAR ES SALAAM,1,KINONDONI,27,2,2015
1292-001,1,13,70123206009,2,1835.50134277344,7,DAR ES SALAAM,1,KINONDONI,27,2,2015
1294-001,1,13,70123206009,2,1835.50134277344,7,DAR ES SALAAM,1,KINONDONI,27,2,2015
1304-001,1,13,70126201021,2,1735.99169921875,7,DAR ES SALAAM,1,KINONDONI,31,1,2015
1305-001,1,13,70126201021,2,1735.99169921875,7,DAR ES SALAAM,1,KINONDONI,31,1,2015
1306-001,1,13,70126201021,2,1735.99169921875,7,DAR ES SALAAM,1,KINONDONI,30,1,2015
1307-001,1,13,70126201021,2,1735.99169921875,7,DAR ES SALAAM,1,KINONDONI,31,1,2015
1308-001,1,13,70126201021,2,1735.99169921875,7,DAR ES SALAAM,1,KINONDONI,31,1,2015
1309-001,1,13,70126201021,2,1735.99169921875,7,DAR ES SALAAM,1,KINONDONI,31,1,2015
1312-001,1,13,70126201021,2,1735.99169921875,7,DAR ES SALAAM,1,KINONDONI,31,1,2015
1314-001,1,13,70126201021,2,1735.99169921875,7,DAR ES SALAAM,1,KINONDONI,30,1,2015
1323-001,1,13,70128203007,2,1843.69555664063,7,DAR ES SALAAM,1,KINONDONI,20,3,2015
1325-001,1,13,70128203007,2,1843.69555664063,7,DAR ES SALAAM,1,KINONDONI,20,3,2015
1327-001,1,13,70128203007,2,1843.69555664063,7,DAR ES SALAAM,1,KINONDONI,19,3,2015
1328-001,1,13,70128203007,2,1843.69555664063,7,DAR ES SALAAM,1,KINONDONI,20,3,2015
1329-001,1,13,70128203007,2,1843.69555664063,7,DAR ES SALAAM,1,KINONDONI,20,3,2015
1331-001,1,13,70128203007,2,1843.69555664063,7,DAR ES SALAAM,1,KINONDONI,21,3,2015
1332-001,1,13,70128203007,2,1843.69555664063,7,DAR ES SALAAM,1,KINONDONI,20,3,2015
1333-001,1,13,70128203007,2,1843.69555664063,7,DAR ES SALAAM,1,KINONDONI,20,3,2015
1342-001,1,13,70129205050,2,1468.53930664063,7,DAR ES SALAAM,1,KINONDONI,31,12,2014
1344-001,1,13,70129205050,2,1468.53930664063,7,DAR ES SALAAM,1,KINONDONI,31,12,2014
1345-001,1,13,70129205050,2,1468.53930664063,7,DAR ES SALAAM,1,KINONDONI,1,1,2015
1346-001,1,13,70129205050,2,1468.53930664063,7,DAR ES SALAAM,1,KINONDONI,31,12,2014
1347-001,1,13,70129205050,2,1468.53930664063,7,DAR ES SALAAM,1,KINONDONI,31,12,2014
1348-001,1,13,70129205050,2,1468.53930664063,7,DAR ES SALAAM,1,KINONDONI,31,12,2014
1349-001,1,13,70129205050,2,1468.53930664063,7,DAR ES SALAAM,1,KINONDONI,31,12,2014
1350-001,1,13,70129205050,2,1468.53930664063,7,DAR ES SALAAM,1,KINONDONI,1,1,2015
1361-001,1,13,70132203038,2,2164.1474609375,7,DAR ES SALAAM,1,KINONDONI,28,3,2015
1362-001,1,13,70132203038,2,2164.1474609375,7,DAR ES SALAAM,1,KINONDONI,28,3,2015
1363-001,1,13,70132203038,2,2164.1474609375,7,DAR ES SALAAM,1,KINONDONI,28,3,2015
1364-001,1,13,70132203038,2,2164.1474609375,7,DAR ES SALAAM,1,KINONDONI,27,3,2015
1365-001,1,13,70132203038,2,2164.1474609375,7,DAR ES SALAAM,1,KINONDONI,27,3,2015
1366-001,1,13,70132203038,2,2164.1474609375,7,DAR ES SALAAM,1,KINONDONI,27,3,2015
1367-001,1,13,70132203038,2,2164.1474609375,7,DAR ES SALAAM,1,KINONDONI,27,3,2015
1368-001,1,13,70132203038,2,2164.1474609375,7,DAR ES SALAAM,1,KINONDONI,27,3,2015
1380-001,1,13,70134206050,2,2177.74609375,7,DAR ES SALAAM,1,KINONDONI,24,3,2015
1381-001,1,13,70134206050,2,2177.74609375,7,DAR ES SALAAM,1,KINONDONI,24,3,2015
1382-001,1,13,70134206050,2,2177.74609375,7,DAR ES SALAAM,1,KINONDONI,25,3,2015
1383-001,1,13,70134206050,2,2177.74609375,7,DAR ES SALAAM,1,KINONDONI,25,3,2015
1384-001,1,13,70134206050,2,2177.74609375,7,DAR ES SALAAM,1,KINONDONI,24,3,2015
1385-001,1,13,70134206050,2,2177.74609375,7,DAR ES SALAAM,1,KINONDONI,24,3,2015
1386-001,1,13,70134206050,2,2177.74609375,7,DAR ES SALAAM,1,KINONDONI,24,3,2015
1387-001,1,13,70134206050,2,2177.74609375,7,DAR ES SALAAM,1,KINONDONI,24,3,2015
1399-001,1,13,70202206008,2,3372.255859375,7,DAR ES SALAAM,2,ILALA,30,10,2014
1400-001,1,13,70202206008,2,3372.255859375,7,DAR ES SALAAM,2,ILALA,31,10,2014
1401-001,1,13,70202206008,2,3372.255859375,7,DAR ES SALAAM,2,ILALA,30,10,2014
1402-001,1,13,70202206008,2,3372.255859375,7,DAR ES SALAAM,2,ILALA,30,10,2014
1403-001,1,13,70202206008,2,3372.255859375,7,DAR ES SALAAM,2,ILALA,30,10,2014
1405-001,1,13,70202206008,2,3372.255859375,7,DAR ES SALAAM,2,ILALA,2,11,2014
1406-001,1,13,70202206008,2,3372.255859375,7,DAR ES SALAAM,2,ILALA,30,10,2014
1407-001,1,13,70202206008,2,3372.255859375,7,DAR ES SALAAM,2,ILALA,31,10,2014
1419-001,1,13,70205202037,2,2415.81323242188,7,DAR ES SALAAM,2,ILALA,9,1,2015
1420-001,1,13,70205202037,2,2415.81323242188,7,DAR ES SALAAM,2,ILALA,9,1,2015
1421-001,1,13,70205202037,2,2415.81323242188,7,DAR ES SALAAM,2,ILALA,12,1,2015
