y4_hhid,domain,strataid,clusterid,clustertype,y4_weights
3419-001,4,50,530128304304,2,319.627258300781
3420-001,4,50,530128304304,2,319.627258300781
3432-001,4,50,530130301304,2,247.735366821289
3433-001,4,50,530130301304,2,247.735366821289
3434-001,4,50,530130301304,2,247.735366821289
3435-001,4,50,530130301304,2,247.735366821289
3436-001,4,50,530130301304,2,247.735366821289
3437-001,4,50,530130301304,2,247.735366821289
3438-001,4,50,530130301304,2,247.735366821289
3439-001,4,50,530130301304,2,247.735366821289
3451-001,4,51,530130302001,1,1781.42333984375
3452-001,4,51,530130302001,1,1781.42333984375
3454-001,4,51,530130302001,1,1781.42333984375
3455-001,4,51,530130302001,1,1781.42333984375
3456-001,4,51,530130302001,1,1781.42333984375
3457-001,4,51,530130302001,1,1781.42333984375
3461-001,4,51,530130302001,1,1781.42333984375
3462-001,4,51,530130302001,1,1781.42333984375
3470-001,4,50,530133307301,2,293.670166015625
3471-001,4,50,530133307301,2,293.670166015625
3472-001,4,50,530133307301,2,293.670166015625
3474-001,4,50,530133307301,2,293.670166015625
3476-001,4,50,530133307301,2,293.670166015625
3477-001,4,50,530133307301,2,293.670166015625
3478-001,4,50,530133307301,2,293.670166015625
3480-001,4,50,530133307301,2,293.670166015625
3489-001,4,50,530135304302,2,265.706573486328
3490-001,4,50,530135304302,2,265.706573486328
3491-001,4,50,530135304302,2,265.706573486328
3492-001,4,50,530135304302,2,265.706573486328
3493-001,4,50,530135304302,2,265.706573486328
3494-001,4,50,530135304302,2,265.706573486328
3495-001,4,50,530135304302,2,265.706573486328
3496-001,4,50,530135304302,2,265.706573486328
3508-001,4,50,530137303301,2,249.504928588867
3509-001,4,50,530137303301,2,249.504928588867
3510-001,4,50,530137303301,2,249.504928588867
3511-001,4,50,530137303301,2,249.504928588867
3512-001,4,50,530137303301,2,249.504928588867
3513-001,4,50,530137303301,2,249.504928588867
3514-001,4,50,530137303301,2,249.504928588867
3515-001,4,50,530137303301,2,249.504928588867
3527-001,4,50,530138302301,2,332.673217773438
3528-001,4,50,530138302301,2,332.673217773438
3530-001,4,50,530138302301,2,332.673217773438
3531-001,4,50,530138302301,2,332.673217773438
3532-001,4,50,530138302301,2,332.673217773438
3533-001,4,50,530138302301,2,332.673217773438
